"Integrity Check",,,
Description:,"Sample files",,
"Date Added:",30-Oct-2018,,
,,,
Filename,Status,,
"A & K Ross Limited.tif",Missing,,,
"Actio Animus.tiff",Missing,,
"A.H. Drives & Controls Ltd.tiff",Missing,,
"Adare Bath.tif",Missing,,
"Adrian Coyne Ltd.tif",Missing,,
"Adrian Coyne.tif",Missing,,
Chrysanthemum.jpg,Ok,,
Desert.jpg,Ok,,
Hydrangeas.jpg,Ok,,
Jellyfish.jpg,Ok,,
Koala.jpg,Ok,,
Lighthouse.jpg,Ok,,
Penguins.jpg,Ok,,
Tulips.jpg,Ok,,
